kept_idx,dropped_idx,similarity,kept_q,dropped_q
20,956,0.9052,"How does the vulnerability identified in the decodeFile function relate to the ultimate objective of a BlueSmacking attack, and what specific weakness category facilitates this connection?","How does the vulnerability identified in the decodeFile function facilitate the same security impact as a BlueSmacking attack?"
32,992,0.9062,"If an attacker performs a BlueSmacking attack to achieve a Denial of Service (DoS) state, what is the specific CWE identifier for the underlying software weakness being exploited, and what specific network-level failure does this weakness manifest as?","By flooding a target with oversized L2CAP packets, the BlueSmacking attack achieves a Denial of Service (DoS) by exploiting an underlying software weakness. What is the industry identifier for this weakness, and what specific network communication resource is improperly managed as a result?"
39,1731,0.9002,"CVE-2001-0830 is a vulnerability in 6tunnel characterized by improper socket closure. Which Bluetooth-based attack pattern, identified as CAPEC-666, exploits the same underlying CWE-404 weakness to achieve a Denial of Service?","CVE-2001-0830 is a vulnerability in 6tunnel that results in resource exhaustion due to improper socket handling. Which Bluetooth-based attack pattern exploits the same underlying CWE category to achieve a Denial of Service (DoS) by flooding targets with oversized L2CAP packets?"
39,1733,0.9050,"CVE-2001-0830 is a vulnerability in 6tunnel characterized by improper socket closure. Which Bluetooth-based attack pattern, identified as CAPEC-666, exploits the same underlying CWE-404 weakness to achieve a Denial of Service?","CVE-2001-0830 is a vulnerability in 6tunnel characterized by improper socket closure; which Bluetooth-based attack pattern exploits the same underlying CWE to achieve a Denial of Service (DoS) through resource exhaustion?"
39,1741,0.9123,"CVE-2001-0830 is a vulnerability in 6tunnel characterized by improper socket closure. Which Bluetooth-based attack pattern, identified as CAPEC-666, exploits the same underlying CWE-404 weakness to achieve a Denial of Service?","Which Bluetooth-based attack pattern, categorized as CAPEC-666, exploits the same CWE-404 weakness found in CVE-2001-0830 to achieve a Denial of Service (DoS)?"
43,489,0.9041,"When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, which security property is primarily compromised, and what specific software weakness category is typically exploited to cause the resulting resource exhaustion?","By flooding a Bluetooth-enabled device with oversized L2CAP packets, an attacker aims to compromise a specific security scope. Which software weakness category, formally known as CWE-404, impacts this same scope and shares the ultimate objective of causing a Denial of Service (DoS)?"
43,520,0.9187,"When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, which security property is primarily compromised, and what specific software weakness category is typically exploited to cause the resulting resource exhaustion?","When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, which security scope is primarily compromised, and what specific software weakness category is associated with the resulting resource exhaustion?"
43,1089,0.9055,"When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, which security property is primarily compromised, and what specific software weakness category is typically exploited to cause the resulting resource exhaustion?","When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, what is the primary security impact achieved, and which specific software weakness category is fundamentally linked to the resulting state of resource exhaustion?"
50,554,0.9089,"When an adversary executes a BLUESMACKING attack to achieve a Denial of Service (DoS) impact, which specific MITRE ATT&CK technique involving the transmission of high-volume network packets is being leveraged to exhaust the target's resources?","An adversary utilizing a Linux machine to execute a BlueSmacking attack aims to achieve a Denial of Service (DoS) by flooding a target with oversized L2CAP packets. Based on this mechanism of resource exhaustion through high-volume traffic, which MITRE ATT&CK sub-technique is being leveraged?"
54,59,0.9036,"Considering that BlueSmacking is a specific attack pattern used to achieve a Denial of Service (DoS), what hardware-based technical measure is utilized to implement the mitigation strategy recommended for the broader Direct Network Flood technique employed by adversaries?","Given that BlueSmacking is an attack pattern designed to achieve a Denial of Service (DoS) objective, what defensive strategy used to mitigate the Direct Network Flood technique (T1498.001) can also be utilized to prevent unauthorized Data Exfiltration?"
